WE	L	LMW	LHE	AMW	AHE	LP	ANL	AS	LL	IA	G	STATUS
0.06	12.03	8.99	11.51	19.62	26.35	5.92	7.08	4.17	7.01	38.6	1	0
0.05	10.45	8.21	8.38	18.61	17.49	5.76	7.35	3.76	7.74	33.33	0	0
NA	11.54	8.66	10.28	20.29	22.78	4.79	6.47	3.51	6.25	29.75	0	0
NA	12.6	9.07	11.46	22.87	27.8	6.12	7.51	4.39	6.84	41.57	1	0
0.05	10.48	7.63	9.47	17.35	20.05	5.55	7.04	3.83	6.98	32.17	0	0
0.04	10.9	8.23	10.19	19.21	22.31	4.42	7.03	3.78	8.04	32.78	0	0
0.04	10.43	7.54	9.94	16.64	20.49	5.01	6	3.67	7.16	30.76	0	0
0.04	10.82	8.19	9.94	19.33	21.45	5.26	6.17	3.5	7.32	31.09	0	0
0.04	10.62	7.82	10.14	19.51	21.52	5.37	6.43	3.84	7.86	31.18	0	0
0.07	11.99	8.79	10.95	22.44	24.45	5.71	7.12	4.24	7.13	39.39	1	0
0.05	10.98	8.05	9.74	19.3	20.67	5.42	6.59	3.73	7.76	32.11	0	0
0.04	10.64	8.04	9.66	18.6	20.63	5.54	6.34	3.35	6.97	31.36	0	0
0.04	10.07	7.83	9.71	18.77	20.9	5.182	6.39	3.97	7.76	32.53	0	0
0.05	11.08	8.08	10.14	20.06	22.66	5.2	6.59	4.25	6.54	37.67	0	0
0.06	11.9	8.34	11.3	22.58	27.7	6.3	7.3	4.26	8	40.27	1	0
0.07	12.53	9.66	11.53	26.85	29.61	6.36	7.95	4.55	8.5	43.46	1	0
0.06	11.94	8.99	10.8	23.74	24.62	5.74	7.1	4.09	7.54	38.25	1	0
0.06	12.12	9.01	11.15	23.84	27.58	6.21	7.43	4.3	8.11	40.66	1	0
0.06	12.33	9.18	11.32	24.85	30.78	6.1	7.33	4.47	8.22	44.64	1	0
0.05	11.57	8.56	10.88	NA	25.46	5.88	6.72	4.37	7.3	39.78	1	0
0.06	12.14	8.74	11.09	22.29	26.84	5.9	7.25	4.37	6.99	40.74	1	0
0.06	12.65	9.24	11	24.77	26.01	5.44	6.96	4.18	8.16	43.77	1	0
0.08	12.33	9.03	11.45	23.97	27.78	5.94	7.49	4.73	7.18	44.19	1	0
0.06	12.45	8.92	10.21	23.91	23.13	6.12	7.12	4.13	7.61	40.36	1	0
0.06	12.54	9.05	11.46	24.53	28.25	6.46	7.39	4.35	8.57	43.4	1	0
0.04	10.87	8	10.03	19.55	18.95	5.45	6.58	3.56	7.72	30.09	0	0
0.05	11.11	8.79	9.73	20.31	20.55	5.73	6.95	3.69	7.6	33.67	0	0
