L	PL	PW	AS	ANL	LL	RL	G	D	STATUS
10.30	1.00	2.60	4.10	6.00	2.40	5.30	1	0	0
8.60	1.00	2.50	3.20	5.30	2.20	5.00	0	1	0
9.80	1.10	2.40	4.10	5.20	2.20	4.90	0	0	0
10.60	0.90	2.60	4.10	5.60	2.30	5.00	1	0	0
9.00	1.10	2.50	3.60	5.10	2.10	4.20	0	0	0
8.90	1.00	2.60	3.70	5.70	2.20	5.60	1	0	0
9.20	1.10	2.60	3.50	5.40	2.20	5.00	0	0	0
10.00	1.00	2.60	4.20	5.60	2.20	5.20	1	0	0
8.60	0.90	2.30	3.60	5.00	1.90	4.00	0	1	0
10.70	1.20	2.80	4.20	5.90	2.40	4.80	1	0	0
9.10	1.10	2.30	3.70	5.30	2.20	5.20	0	1	0
10.20	1.00	2.60	4.10	5.20	2.20	5.10	1	0	0
10.10	1.20	2.70	4.20	5.70	2.30	5.70	0	0	0
10.90	1.10	2.80	4.40	5.80	2.40	6.20	1	0	0
10.40	1.30	2.90	4.30	6.10	2.30	5.80	1	0	0
10.80	1.20	2.80	4.50	5.80	2.30	6.00	1	0	0
10.20	1.10	2.70	4.20	5.90	2.20	5.90	0	0	0
9.00	1.10	2.50	3.50	5.70	2.20	5.60	0	0	0
10.90	1.30	2.90	4.50	6.00	2.30	6.00	1	0	0
10.20	1.00	2.50	4.20	5.60	2.20	6.30	0	0	0
10.50	1.20	2.70	4.10	6.00	2.30	5.10	0	0	0
10.40	1.20	2.70	4.20	6.00	2.40	5.50	0	0	0
11.30	1.30	2.90	4.60	5.90	2.40	5.90	1	0	0
9.50	1.10	2.50	3.80	5.50	2.20	4.90	0	1	0
10.60	1.20	2.90	4.30	6.20	2.30	6.10	1	1	0
9.90	0.90	2.40	4.10	5.50	2.30	5.00	0	1	0
9.50	1.10	2.60	3.60	5.30	2.20	4.90	1	0	0
10.50	1.20	2.70	4.10	5.60	2.20	5.10	0	1	0
11.60	1.30	2.90	4.40	5.90	2.40	5.90	1	0	0
10.50	1.00	2.70	3.90	5.70	2.20	4.90	0	0	0
10.30	1.20	2.60	4.40	5.50	2.20	5.20	1	0	0
9.60	1.10	2.60	4.10	5.60	2.10	4.70	1	0	1
10.20	1.00	2.50	3.90	5.30	1.90	4.20	0	0	1
10.10	1.00	2.40	3.80	5.50	2.20	5.30	1	0	1
9.40	0.90	2.40	3.80	5.40	2.10	4.70	1	1	1
9.00	1.00	2.40	3.30	5.00	2.00	4.70	0	1	1
8.40	1.00	2.30	3.00	5.00	2.00	4.30	0	1	1
8.90	0.90	2.30	3.70	5.30	2.10	4.70	0	0	1
8.50	1.00	2.30	3.40	5.10	2.00	4.20	0	1	1
9.50	1.00	2.40	3.60	5.00	1.80	5.00	1	0	1
9.40	0.80	2.40	3.90	5.10	2.00	4.90	1	0	1
9.50	1.00	2.50	3.70	5.50	2.10	4.60	1	0	1
9.40	1.10	2.60	3.40	5.30	2.10	5.30	1	0	1
8.90	1.00	2.50	3.50	5.10	2.00	4.50	1	1	1
8.50	0.90	2.30	3.50	4.90	1.90	4.70	0	0	1
9.90	1.10	2.50	3.90	5.30	2.00	4.60	1	0	1
8.70	1.10	2.30	3.30	5.40	2.00	4.80	1	0	1
8.80	1.10	2.40	3.30	5.30	2.00	4.80	1	1	1
9.50	1.00	2.40	3.60	5.50	2.10	4.70	1	0	1
8.90	1.00	2.50	3.40	5.20	2.10	4.70	0	0	1
10.50	1.20	2.70	3.60	5.80	2.30	5.40	1	0	1
9.40	1.10	2.40	3.10	5.60	2.20	5.30	0	0	1
10.10	1.20	2.40	3.40	5.60	2.20	5.20	1	1	1
9.30	0.90	2.40	3.80	5.00	2.10	4.60	0	0	1
9.50	1.20	2.60	3.20	5.70	2.30	4.70	0	0	1
9.00	1.00	2.50	3.00	5.30	2.20	4.60	0	0	1
9.30	1.00	2.30	3.20	5.20	2.00	4.10	0	1	1
10.30	1.10	2.60	3.70	5.70	2.20	5.20	0	0	1
9.60	0.90	2.60	3.80	5.80	2.30	5.20	1	1	1
10.30	1.10	2.40	3.40	5.40	2.20	4.80	0	0	1
10.30	1.20	2.50	3.80	5.60	2.20	5.20	0	0	1
